employee,year_month,monthly_score,message_count,employee_name
bobette.riner@ipgdirect.com,2010-01,1,2,Bobette Riner
bobette.riner@ipgdirect.com,2010-02,7,14,Bobette Riner
bobette.riner@ipgdirect.com,2010-03,3,11,Bobette Riner
bobette.riner@ipgdirect.com,2010-04,2,6,Bobette Riner
bobette.riner@ipgdirect.com,2010-05,1,4,Bobette Riner
bobette.riner@ipgdirect.com,2010-06,0,5,Bobette Riner
bobette.riner@ipgdirect.com,2010-07,6,12,Bobette Riner
bobette.riner@ipgdirect.com,2010-08,0,9,Bobette Riner
bobette.riner@ipgdirect.com,2010-09,4,15,Bobette Riner
bobette.riner@ipgdirect.com,2010-10,2,6,Bobette Riner
bobette.riner@ipgdirect.com,2010-11,0,16,Bobette Riner
bobette.riner@ipgdirect.com,2010-12,0,8,Bobette Riner
bobette.riner@ipgdirect.com,2011-01,10,17,Bobette Riner
bobette.riner@ipgdirect.com,2011-02,1,3,Bobette Riner
bobette.riner@ipgdirect.com,2011-03,6,14,Bobette Riner
bobette.riner@ipgdirect.com,2011-04,9,15,Bobette Riner
bobette.riner@ipgdirect.com,2011-05,1,1,Bobette Riner
bobette.riner@ipgdirect.com,2011-06,5,11,Bobette Riner
bobette.riner@ipgdirect.com,2011-07,1,14,Bobette Riner
bobette.riner@ipgdirect.com,2011-08,2,3,Bobette Riner
bobette.riner@ipgdirect.com,2011-09,5,11,Bobette Riner
bobette.riner@ipgdirect.com,2011-10,0,1,Bobette Riner
bobette.riner@ipgdirect.com,2011-11,6,16,Bobette Riner
bobette.riner@ipgdirect.com,2011-12,0,3,Bobette Riner
don.baughman@enron.com,2010-01,4,9,Don Baughman
don.baughman@enron.com,2010-02,6,15,Don Baughman
don.baughman@enron.com,2010-03,2,4,Don Baughman
don.baughman@enron.com,2010-04,5,11,Don Baughman
don.baughman@enron.com,2010-05,8,23,Don Baughman
don.baughman@enron.com,2010-06,7,17,Don Baughman
don.baughman@enron.com,2010-07,1,6,Don Baughman
don.baughman@enron.com,2010-08,2,2,Don Baughman
don.baughman@enron.com,2010-09,1,7,Don Baughman
don.baughman@enron.com,2010-10,0,1,Don Baughman
don.baughman@enron.com,2010-11,3,9,Don Baughman
don.baughman@enron.com,2010-12,2,18,Don Baughman
don.baughman@enron.com,2011-01,2,9,Don Baughman
don.baughman@enron.com,2011-02,2,2,Don Baughman
don.baughman@enron.com,2011-03,2,4,Don Baughman
don.baughman@enron.com,2011-04,2,5,Don Baughman
don.baughman@enron.com,2011-05,3,12,Don Baughman
don.baughman@enron.com,2011-06,0,3,Don Baughman
don.baughman@enron.com,2011-07,0,5,Don Baughman
don.baughman@enron.com,2011-08,4,12,Don Baughman
don.baughman@enron.com,2011-09,6,15,Don Baughman
don.baughman@enron.com,2011-10,4,9,Don Baughman
don.baughman@enron.com,2011-11,2,8,Don Baughman
don.baughman@enron.com,2011-12,4,7,Don Baughman
eric.bass@enron.com,2010-01,4,10,Eric Bass
eric.bass@enron.com,2010-02,4,4,Eric Bass
eric.bass@enron.com,2010-03,1,11,Eric Bass
eric.bass@enron.com,2010-04,1,2,Eric Bass
eric.bass@enron.com,2010-05,4,7,Eric Bass
eric.bass@enron.com,2010-06,1,1,Eric Bass
eric.bass@enron.com,2010-07,6,19,Eric Bass
eric.bass@enron.com,2010-08,1,2,Eric Bass
eric.bass@enron.com,2010-09,3,15,Eric Bass
eric.bass@enron.com,2010-10,6,9,Eric Bass
eric.bass@enron.com,2010-11,2,5,Eric Bass
eric.bass@enron.com,2010-12,2,2,Eric Bass
eric.bass@enron.com,2011-01,4,12,Eric Bass
eric.bass@enron.com,2011-02,1,1,Eric Bass
eric.bass@enron.com,2011-03,3,9,Eric Bass
eric.bass@enron.com,2011-04,6,11,Eric Bass
eric.bass@enron.com,2011-05,5,16,Eric Bass
eric.bass@enron.com,2011-06,10,22,Eric Bass
eric.bass@enron.com,2011-07,1,5,Eric Bass
eric.bass@enron.com,2011-08,3,7,Eric Bass
eric.bass@enron.com,2011-09,5,13,Eric Bass
eric.bass@enron.com,2011-10,2,9,Eric Bass
eric.bass@enron.com,2011-11,1,1,Eric Bass
eric.bass@enron.com,2011-12,4,17,Eric Bass
john.arnold@enron.com,2010-01,2,7,John Arnold
john.arnold@enron.com,2010-02,7,18,John Arnold
john.arnold@enron.com,2010-03,2,18,John Arnold
john.arnold@enron.com,2010-04,3,9,John Arnold
john.arnold@enron.com,2010-05,1,10,John Arnold
john.arnold@enron.com,2010-06,5,15,John Arnold
john.arnold@enron.com,2010-07,3,7,John Arnold
john.arnold@enron.com,2010-08,4,10,John Arnold
john.arnold@enron.com,2010-09,3,13,John Arnold
john.arnold@enron.com,2010-10,6,11,John Arnold
john.arnold@enron.com,2010-11,1,11,John Arnold
john.arnold@enron.com,2010-12,8,21,John Arnold
john.arnold@enron.com,2011-01,0,3,John Arnold
john.arnold@enron.com,2011-02,10,19,John Arnold
john.arnold@enron.com,2011-03,6,10,John Arnold
john.arnold@enron.com,2011-04,1,2,John Arnold
john.arnold@enron.com,2011-05,6,11,John Arnold
john.arnold@enron.com,2011-06,5,7,John Arnold
john.arnold@enron.com,2011-07,6,8,John Arnold
john.arnold@enron.com,2011-08,6,12,John Arnold
john.arnold@enron.com,2011-09,1,1,John Arnold
john.arnold@enron.com,2011-10,6,18,John Arnold
john.arnold@enron.com,2011-11,3,11,John Arnold
john.arnold@enron.com,2011-12,2,4,John Arnold
johnny.palmer@enron.com,2010-01,2,6,Johnny Palmer
johnny.palmer@enron.com,2010-02,4,18,Johnny Palmer
